date;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12
1978K1;27900;17503;10167;20403;17283;19720;19602;22216;58213;52530;;
1978K2;28861;18160;10456;21055;17533;15027;24564;22588;59200;54607;;
1978K3;29412;18350;10747;16718;16359;19045;21299;20573;63014;57216;;
1978K4;29453;18162;11060;19403;16682;19391;22450;21569;63935;58553;;
1979K1;30275;18734;11344;19230;16259;16806;23876;22089;63025;57513;;
1979K2;31517;19701;11436;20058;16195;20091;24805;24493;66529;59528;;
1979K3;32017;19981;11652;19878;15980;21247;27407;25934;69731;61033;;
1979K4;32895;20695;12013;22917;19339;19561;29650;26789;70699;60268;;
1980K1;33654;21255;12168;22395;19210;20134;35359;28771;76635;63381;;
1980K2;34371;21587;12611;21405;18411;23620;33947;29872;78667;65195;;
1980K3;35862;22476;13088;22836;18899;24402;31394;29040;79645;67330;;
1980K4;37329;23545;13547;22095;18868;21736;35219;29232;82555;67996;;
1981K1;37975;23802;14124;24181;19895;24281;36589;30506;86788;71680;;
1981K2;39188;24407;14563;23520;21528;24143;39684;30224;91798;74845;;
1981K3;40404;25199;15050;27264;21579;26488;40474;33655;93197;77216;;
1981K4;42470;26562;15586;27966;21578;26564;39281;35427;92882;77510;;
1982K1;42964;26498;16120;28462;22202;26477;39568;33290;96645;81094;;
1982K2;44802;27328;17095;29576;23471;29131;39671;35569;99585;84397;;
1982K3;46020;27970;17561;27628;22395;28838;43257;36741;103468;85247;;
1982K4;46737;28009;18106;28896;22215;31308;42895;39226;104324;85686;;
1983K1;48535;29052;18836;33154;23405;30305;43174;37947;107350;89320;;
1983K2;49045;29099;19297;32689;23749;30356;46052;37290;111999;91973;;
1983K3;50767;30072;19827;31242;24539;30070;47742;38257;114753;94068;;
1983K4;51216;30448;20454;32776;23484;27762;48560;36914;115667;95421;;
1984K1;52786;31392;20719;31887;24204;29919;50864;38603;120169;98097;;
1984K2;53738;31893;21068;36567;25283;34254;51903;40719;124935;101318;;
1984K3;55121;32599;21677;35350;26247;39041;54288;43984;130824;105740;;
1984K4;56840;33753;22368;35372;26114;35768;56755;45919;130366;103801;;
1985K1;59994;36015;23132;33610;24415;34945;57987;46706;133656;108186;;
1985K2;61709;37352;23539;34033;26739;34875;59272;47604;136441;110225;;
1985K3;64451;39236;24270;41449;33371;43056;58944;49431;145812;119111;;
1985K4;66796;41144;24580;36636;30316;40465;60098;51515;145227;119852;;
1986K1;67982;41200;25789;41973;33691;46780;52355;53563;144141;123497;;
1986K2;71236;43457;26608;44522;35627;49324;43384;54380;140400;127698;;
1986K3;71154;42526;27507;43062;37006;51286;46483;54504;146138;131489;;
1986K4;73621;44265;28073;37420;33304;44025;52779;52330;150457;132539;;
1987K1;74698;44306;29094;43506;37802;46138;50343;53039;152717;137414;;
1987K2;75632;44642;29549;43357;36894;50438;51699;54142;159268;142977;;
1987K3;76428;44742;30180;48931;38204;53497;50289;55961;160495;144149;;
1987K4;78647;45585;31477;48809;39957;49135;49595;52146;162070;146649;;
1988K1;79183;45838;31912;47595;39554;50868;52814;53986;165340;150418;;
1988K2;79393;45064;33005;49964;39269;51699;52614;54539;166385;151881;;
1988K3;78992;44599;33276;48417;38350;51019;53835;54764;166892;152528;;
1988K4;78791;44211;33701;51124;37626;47957;56385;55711;165688;152031;;
1989K1;80255;44792;34151;46305;34121;46692;62278;56240;172195;153035;;
1989K2;82868;45922;35661;44651;34241;47069;66706;58539;177879;154428;;
1989K3;82626;45954;35280;45653;32804;49382;67902;60525;180057;156762;;
1989K4;83888;46014;36640;53699;33867;52157;67505;64705;179687;156425;;
1990K1;84316;46736;36801;47393;36373;45693;69180;61366;179363;155199;;
1990K2;86468;48117;37389;44714;31155;47743;68830;63718;182518;160294;;
1990K3;88113;48983;37893;39878;30669;44369;72955;59745;189313;163097;;
1990K4;88139;48650;38741;39214;31656;45934;84095;63992;197569;160963;;
1991K1;90660;51299;38833;43384;30623;42892;75469;59065;194950;166301;;
1991K2;91160;50901;39914;40071;29582;44218;79433;62957;197702;166173;;
1991K3;92950;51995;40392;42352;30799;42872;77910;61654;198765;168850;;
1991K4;92804;51782;40380;46149;32074;43960;76861;64599;197283;167509;;
1992K1;95962;52316;42621;40086;29284;41083;76382;61453;201121;173458;;
1992K2;95194;53233;41271;43491;30459;45808;74672;62914;202266;172969;;
1992K3;95345;52867;42108;41397;27754;46488;75276;62658;204285;175104;;
1992K4;97879;54858;42333;44806;31405;41612;75506;60621;204808;175349;;
1993K1;97976;53816;43215;43181;27808;44778;76399;63898;206784;175979;;
1993K2;99403;55232;43630;43286;29137;41671;81035;62731;211098;179747;;
1993K3;102059;57257;44651;47087;30159;51369;80373;68906;216581;184327;;
1993K4;104514;57689;46305;49107;31122;50604;79834;68468;220231;190159;;
1994K1;103846;58461;45316;47777;31861;49948;79303;68321;216502;187092;;
1994K2;104413;57987;46199;51211;32450;52918;81776;68275;224853;192063;;
1994K3;106757;59047;46782;48111;33754;50290;83447;69795;225209;193645;;
1994K4;107404;59503;47086;46827;35516;53014;91201;75786;231272;197863;;
1995K1;109344;60729;48110;51442;38632;56365;89928;73588;237718;204942;109121;783,9
1995K2;111599;62021;48860;50560;38515;60404;87521;75254;239360;204995;108018;786,3
1995K3;113624;63297;49528;51255;38569;56732;90155;74894;241587;208763;111197;788,7
1995K4;114921;63596;50458;53563;38388;59450;90348;76224;245132;210882;113920;791,4
1996K1;119004;66710;51426;57165;44995;56496;101185;78631;255821;215824;115366;796,6
1996K2;119244;66390;51904;56225;43482;57962;101658;79671;257288;214530;115933;799,5
1996K3;122219;68359;52646;56523;42051;61197;106314;82255;267195;220162;119763;802,3
1996K4;124152;69906;53037;60212;45572;63162;111845;87941;271925;223578;122960;804,8
1997K1;124563;69621;53840;62709;45877;66121;112209;85872;276717;227354;123053;817,1
1997K2;127862;71726;54700;67429;47540;71551;115430;92946;285527;237143;128924;820,4
1997K3;128385;71602;55293;69072;49326;70595;119389;95000;286287;237482;129310;823,0
1997K4;131542;73915;56069;69669;49810;76626;115553;96252;291753;243755;132794;825,0
1998K1;131259;72734;56747;75890;52907;77086;115193;102150;286710;244482;135591;838,4
1998K2;135584;76078;57660;72916;50780;80884;108368;100484;291214;253964;138398;841,8
1998K3;136692;76551;58676;78517;53380;82826;104160;101831;291135;258565;143844;843,5
1998K4;137168;75066;59600;80998;55858;88629;101647;103991;294127;262566;147636;844,4
1999K1;140389;77143;60958;73226;51331;77794;103568;98639;294112;262160;147521;846,8
1999K2;139519;75511;62168;71537;51510;74063;114608;95866;305187;264039;150328;849,9
1999K3;143842;79601;63110;79037;54325;79158;128006;100001;323816;271687;151591;849,9
1999K4;148254;81603;64304;73203;55445;80718;140568;102705;341265;276600;154724;849,8
2000K1;151976;83235;66299;75239;55841;84704;157543;106951;363786;281160;157256;842,9
2000K2;153346;83744;67022;76371;55563;81377;164220;109118;366712;283389;157690;845,6
2000K3;154322;83988;68222;72685;54234;81328;177806;108961;382800;287860;160958;843,8
2000K4;154777;83754;69226;74522;57150;83006;189106;110879;395150;293530;162847;843,1
2001K1;158544;86133;70384;77512;59446;83003;183395;114711;394319;300886;167610;830,5
2001K2;160905;87370;71266;76781;60865;83568;180987;111677;397874;301706;166700;832,8
2001K3;160214;86153;71583;75631;58479;79682;176132;108972;391667;301671;169507;829,7
2001K4;161607;87113;72593;75774;55862;79295;163605;108065;384429;308338;174282;829,1
2002K1;164220;88456;73717;75678;61821;80226;155718;105455;380537;310377;171250;813,8
2002K2;165028;88225;74611;77820;63493;80326;164313;108954;392943;312699;177546;815,8
2002K3;167265;89023;75443;75191;59652;78606;155395;104678;391733;318555;180740;820,6
2002K4;172131;92888;76652;74144;57799;79223;155364;105983;394387;316125;181151;817,3
2003K1;175254;93717;78517;80675;58802;82343;160288;106825;406231;321096;182184;791,2
2003K2;173581;92437;78052;73803;55753;74934;156353;106182;394814;322820;180296;793,5
2003K3;177401;93741;79964;82385;58786;83089;157659;110061;407196;331192;184129;797,5
2003K4;182029;95887;81873;68417;57729;75260;168790;112735;410328;331281;183747;795,7
2004K1;186803;98813;83719;79897;62282;88018;175913;119272;429598;342098;187158;801,2
2004K2;187712;98089;84663;84129;65443;92812;179405;120914;438737;346654;188807;803,7
2004K3;189663;98291;85631;88907;67735;99291;186172;126892;449506;356501;193097;807,5
